67°36′17″N,67.60460594,14°26′16″E,14.43781668,486.0755,101.602°
72°54′29″N,72.90799242,2°43′10″E,2.71940942,448.5712,358.244°
67°56′02″N,67.93378307,1°26′10″W,-1.43602939,214.6299,242.878°
69°24′25″N,69.40705282,4°38′35″E,4.64301193,83.7553,44.599°
66°03′11″N,66.05303654,2°22′13″E,2.37017812,315.8397,186.317°
66°52′16″N,66.87100065,1°30′10″E,1.50287115,233.4358,197.841°
66°12′27″N,66.20747827,4°14′15″E,4.23741355,300.5886,170.565°
67°48′13″N,67.80352582,4°30′11″W,-4.50314458,335.4478,252.741°
68°39′02″N,68.65045088,8°47′11″E,8.78647093,228.8088,93.693°
68°33′11″N,68.55295927,11°16′07″E,11.26858523,329.9415,92.475°
