68°32′15″N,68.53741875,5°36′10″E,5.60282368,106.42,109.659°
64°43′03″N,64.7176256,1°28′34″E,1.47597225,468.3363,189.722°
69°10′18″N,69.17155439,15°11′10″E,15.18616315,479.9741,80.485°
65°42′08″N,65.70214232,11°13′11″E,11.21976371,494.3554,131.727°
66°42′10″N,66.70276096,9°49′57″E,9.83242834,370.7075,127.548°
68°52′30″N,68.87507368,6°24′48″E,6.41338108,131.2092,88.584°
69°57′18″N,69.95511635,5°44′34″W,-5.74287328,367.0552,293.164°
72°01′49″N,72.03024519,0°16′30″E,0.27488033,366.4303,344.436°
67°48′18″N,67.80502818,4°41′13″W,-4.68685315,342.4219,253.301°
70°06′56″N,70.11563987,2°36′45″W,-2.6123657,262.8793,304.248°
68°21′30″N,68.35820929,6°42′04″W,-6.70112644,402.7683,266.37°
72°56′54″N,72.94842096,4°16′08″E,4.2687771,454.6478,4.65°
72°24′54″N,72.41510414,11°16′30″E,11.27487718,493.8608,33.52°
68°21′49″N,68.36364267,4°32′38″E,4.54378023,80.6567,134.448°
69°34′05″N,69.56813236,11°37′02″E,11.61730515,342.9013,73.122°
70°43′05″N,70.71792995,5°24′34″E,5.40943199,222.4755,22.006°
70°41′50″N,70.69717115,4°04′13″E,4.07031434,205.5408,9.584°
72°41′18″N,72.68820544,8°05′22″E,8.08954779,460.6227,20.826°
67°15′09″N,67.25252775,6°15′59″E,6.26672354,222.5225,142.828°
71°09′19″N,71.15516188,7°02′47″E,7.04628108,293.5349,28.551°
67°18′50″N,67.31382611,7°19′31″W,-7.32528298,467.0346,253.087°
65°17′26″N,65.29045919,4°49′33″E,4.82580285,405.5467,168.848°
65°57′46″N,65.96275258,3°09′07″E,3.1518881,324.1807,179.902°
67°48′50″N,67.81381429,0°51′27″W,-0.85752547,202.1965,236.076°
69°20′35″N,69.34297435,11°17′47″E,11.2964177,327.3636,77.109°
72°42′50″N,72.71395204,2°53′09″W,-2.8858693,479.7831,335.5°
69°24′06″N,69.40160372,9°10′09″W,-9.16928967,490.1464,282.548°
67°20′27″N,67.34085593,4°28′53″E,4.48140072,179.7183,161.342°
70°11′21″N,70.18914618,11°05′18″E,11.08822689,341.5025,61.045°
66°48′57″N,66.81583137,4°06′34″E,4.10935916,232.8672,169.492°
67°53′06″N,67.88490751,13°27′52″E,13.46443475,436.682,99.783°
69°24′58″N,69.41603408,4°52′17″W,-4.87147084,322.5549,284.424°
69°10′25″N,69.17348783,8°02′05″W,-8.03480974,445.4927,279.44°
70°28′22″N,70.47271901,3°13′44″W,-3.22899888,303.1197,308.757°
66°23′17″N,66.38796247,2°37′40″W,-2.62773666,368.8341,224.095°
70°46′59″N,70.78346022,10°35′34″E,10.59266793,355.4853,49.975°
73°03′46″N,73.06283802,2°30′16″E,2.50458285,466.0986,357.467°
68°16′59″N,68.28299722,7°22′08″E,7.36875248,184.0195,109.071°
66°25′48″N,66.42990398,7°59′52″E,7.99783664,340.8378,140.692°
69°00′32″N,69.00897457,11°01′44″E,11.02881904,315.3954,83.664°
70°15′16″N,70.25438921,0°50′33″E,0.84242185,177.2206,330.854°
67°42′52″N,67.71458109,2°19′50″W,-2.33053347,259.3949,242.671°
66°19′51″N,66.33089465,9°21′02″E,9.3504403,386.2947,134.197°
70°55′54″N,70.93161888,8°19′22″W,-8.32285095,493.0009,302.852°
72°49′49″N,72.83021721,2°49′55″W,-2.83188154,490.1353,336.44°
66°52′48″N,66.87988079,0°31′59″W,-0.5330139,270.1303,216.41°
68°22′10″N,68.36945477,5°53′56″W,-5.89884677,370.4143,265.463°
66°06′21″N,66.10576439,4°59′56″E,4.99883792,318.2395,164.736°
69°57′54″N,69.96501552,5°57′54″W,-5.96511453,375.5288,292.997°
67°10′59″N,67.18300114,1°29′42″W,-1.49496088,269.5158,227.827°
66°40′43″N,66.6785589,3°19′17″E,3.32132911,244.6829,178.126°
69°16′57″N,69.28241829,9°16′10″W,-9.269445,494.0252,281.002°
72°09′58″N,72.16599808,1°27′34″E,1.45943034,371.0179,351.122°
67°52′26″N,67.87380612,2°49′42″W,-2.82839642,268.7444,248.267°
66°36′48″N,66.6132894,6°45′24″W,-6.75658809,486.2089,243.511°
64°59′08″N,64.98565207,0°57′09″W,-0.95255838,467.9199,204.289°
65°44′33″N,65.74248042,0°44′23″E,0.73967154,363.4994,197.565°
72°04′47″N,72.07980681,8°55′28″E,8.92438248,415.6541,28.413°
67°36′19″N,67.60537153,1°56′11″E,1.93647378,149.9165,199.883°
68°55′31″N,68.92531993,7°05′16″W,-7.08782585,409.0564,275.517°
